employee_name,working_day,date,hours_of_work,work_from_home
13,Wednesday,2023-02-22,6.04,0
14,Wednesday,2023-02-22,5.61,1
15,Wednesday,2023-02-22,6.52,0
16,Wednesday,2023-02-22,6.39,0
17,Wednesday,2023-02-22,4.56,0
18,Wednesday,2023-02-22,5.13,0
1,Tuesday,2023-02-21,5.8,0
2,Tuesday,2023-02-21,4.82,0
3,Tuesday,2023-02-21,5.23,0
4,Tuesday,2023-02-21,5.3,0
5,Tuesday,2023-02-21,5.34,0
6,Tuesday,2023-02-21,5.75,0
7,Tuesday,2023-02-21,5.36,0
8,Tuesday,2023-02-21,6.46,0
9,Tuesday,2023-02-21,5.77,0
10,Tuesday,2023-02-21,5.65,0
11,Tuesday,2023-02-21,5.08,0
12,Tuesday,2023-02-21,6.59,0
13,Tuesday,2023-02-21,5.19,0
14,Tuesday,2023-02-21,6.66,0
15,Tuesday,2023-02-21,6.85,1
16,Tuesday,2023-02-21,6.55,0
17,Tuesday,2023-02-21,5.91,0
18,Tuesday,2023-02-21,4.59,0
1,Monday,2023-02-20,6.8,0
2,Monday,2023-02-20,4.99,0
3,Monday,2023-02-20,5.63,1
4,Monday,2023-02-20,5.32,0
5,Monday,2023-02-20,5.61,0
6,Monday,2023-02-20,4.83,1
7,Monday,2023-02-20,4.51,0
8,Monday,2023-02-20,4.86,0
9,Monday,2023-02-20,4.75,0
10,Monday,2023-02-20,4.8,0
11,Monday,2023-02-20,6.7,0
12,Monday,2023-02-20,6.14,0
13,Monday,2023-02-20,6.29,0
14,Monday,2023-02-20,6.54,0
15,Monday,2023-02-20,5.0,1
16,Monday,2023-02-20,4.92,0
17,Monday,2023-02-20,5.25,0
18,Monday,2023-02-20,5.19,0
1,Sunday,2023-02-19,0.0,0
2,Sunday,2023-02-19,0.0,0
3,Sunday,2023-02-19,0.0,0
4,Sunday,2023-02-19,0.0,0
5,Sunday,2023-02-19,0.0,0
6,Sunday,2023-02-19,0.0,0
7,Sunday,2023-02-19,0.0,0
8,Sunday,2023-02-19,0.0,0
9,Sunday,2023-02-19,0.0,0
10,Sunday,2023-02-19,0.0,0
11,Sunday,2023-02-19,0.0,0
12,Sunday,2023-02-19,0.0,0
13,Sunday,2023-02-19,0.0,0
14,Sunday,2023-02-19,0.0,0
15,Sunday,2023-02-19,0.0,0
16,Sunday,2023-02-19,0.0,0
17,Sunday,2023-02-19,0.0,0
18,Sunday,2023-02-19,0.0,0
1,Saturday,2023-02-18,0.0,0
2,Saturday,2023-02-18,0.0,0
3,Saturday,2023-02-18,0.0,0
4,Saturday,2023-02-18,0.0,0
5,Saturday,2023-02-18,0.0,0
6,Saturday,2023-02-18,0.0,0
7,Saturday,2023-02-18,0.0,0
8,Saturday,2023-02-18,0.0,0
9,Saturday,2023-02-18,0.0,0
10,Saturday,2023-02-18,0.0,0
11,Saturday,2023-02-18,0.0,0
12,Saturday,2023-02-18,0.0,0
13,Saturday,2023-02-18,0.0,0
14,Saturday,2023-02-18,0.0,0
15,Saturday,2023-02-18,0.0,0
16,Saturday,2023-02-18,0.0,0
17,Saturday,2023-02-18,0.0,0
18,Saturday,2023-02-18,0.0,0
1,Friday,2023-02-17,5.94,0
2,Friday,2023-02-17,5.87,1
3,Friday,2023-02-17,4.7,1
4,Friday,2023-02-17,5.44,1
5,Friday,2023-02-17,6.09,0
6,Friday,2023-02-17,6.17,0
7,Friday,2023-02-17,4.54,1
8,Friday,2023-02-17,5.24,0
9,Friday,2023-02-17,5.52,1
10,Friday,2023-02-17,6.35,1
11,Friday,2023-02-17,6.43,1
12,Friday,2023-02-17,5.52,0
13,Friday,2023-02-17,6.48,1
14,Friday,2023-02-17,6.35,0
15,Friday,2023-02-17,5.75,0
16,Friday,2023-02-17,6.25,1
17,Friday,2023-02-17,6.38,1
18,Friday,2023-02-17,5.97,0
1,Thursday,2023-02-16,5.51,0
2,Thursday,2023-02-16,4.74,0
3,Thursday,2023-02-16,5.55,0
4,Thursday,2023-02-16,6.36,0
5,Thursday,2023-02-16,4.82,0
6,Thursday,2023-02-16,5.36,1
7,Thursday,2023-02-16,6.13,1
8,Thursday,2023-02-16,6.95,0
9,Thursday,2023-02-16,5.43,0
10,Thursday,2023-02-16,6.32,0
11,Thursday,2023-02-16,6.42,0
12,Thursday,2023-02-16,6.51,0
13,Thursday,2023-02-16,5.0,0
14,Thursday,2023-02-16,4.75,0
15,Thursday,2023-02-16,6.95,0
16,Thursday,2023-02-16,6.82,1
17,Thursday,2023-02-16,6.16,0
18,Thursday,2023-02-16,6.36,0
1,Wednesday,2023-02-15,6.97,0
2,Wednesday,2023-02-15,4.73,0
3,Wednesday,2023-02-15,6.79,1
4,Wednesday,2023-02-15,6.3,0
5,Wednesday,2023-02-15,5.28,1
6,Wednesday,2023-02-15,5.15,0
7,Wednesday,2023-02-15,6.78,0
8,Wednesday,2023-02-15,5.69,0
9,Wednesday,2023-02-15,5.49,1
10,Wednesday,2023-02-15,5.42,0
11,Wednesday,2023-02-15,5.48,0
12,Wednesday,2023-02-15,5.74,0
13,Wednesday,2023-02-15,5.05,0
14,Wednesday,2023-02-15,4.67,0
15,Wednesday,2023-02-15,6.9,0
16,Wednesday,2023-02-15,6.79,1
17,Wednesday,2023-02-15,5.26,0
18,Wednesday,2023-02-15,5.83,0
1,Tuesday,2023-02-14,6.63,0
2,Tuesday,2023-02-14,5.73,0
3,Tuesday,2023-02-14,5.52,0
4,Tuesday,2023-02-14,5.79,0
5,Tuesday,2023-02-14,5.23,0
6,Tuesday,2023-02-14,5.98,0
7,Tuesday,2023-02-14,4.62,1
8,Tuesday,2023-02-14,6.2,0
9,Tuesday,2023-02-14,4.69,0
10,Tuesday,2023-02-14,5.88,0
11,Tuesday,2023-02-14,5.07,0
12,Tuesday,2023-02-14,6.26,1
13,Tuesday,2023-02-14,5.0,0
14,Tuesday,2023-02-14,6.99,0
15,Tuesday,2023-02-14,5.34,0
16,Tuesday,2023-02-14,6.61,1
17,Tuesday,2023-02-14,5.12,0
18,Tuesday,2023-02-14,5.64,0
1,Monday,2023-02-13,4.69,1
2,Monday,2023-02-13,4.67,0
3,Monday,2023-02-13,5.84,0
4,Monday,2023-02-13,6.54,0
5,Monday,2023-02-13,5.75,0
6,Monday,2023-02-13,6.36,0
7,Monday,2023-02-13,5.7,0
8,Monday,2023-02-13,5.83,0
9,Monday,2023-02-13,5.96,0
10,Monday,2023-02-13,5.26,0
11,Monday,2023-02-13,6.46,0
12,Monday,2023-02-13,4.72,0
13,Monday,2023-02-13,4.65,0
14,Monday,2023-02-13,6.4,1
15,Monday,2023-02-13,5.41,0
16,Monday,2023-02-13,6.67,0
17,Monday,2023-02-13,5.92,0
18,Monday,2023-02-13,4.62,1
1,Sunday,2023-02-12,0.0,0
2,Sunday,2023-02-12,0.0,0
3,Sunday,2023-02-12,0.0,0
4,Sunday,2023-02-12,0.0,0
5,Sunday,2023-02-12,0.0,0
6,Sunday,2023-02-12,0.0,0
7,Sunday,2023-02-12,0.0,0
8,Sunday,2023-02-12,0.0,0
9,Sunday,2023-02-12,0.0,0
10,Sunday,2023-02-12,0.0,0
11,Sunday,2023-02-12,0.0,0
12,Sunday,2023-02-12,0.0,0
13,Sunday,2023-02-12,0.0,0
14,Sunday,2023-02-12,0.0,0
15,Sunday,2023-02-12,0.0,0
16,Sunday,2023-02-12,0.0,0
17,Sunday,2023-02-12,0.0,0
18,Sunday,2023-02-12,0.0,0
1,Saturday,2023-02-11,0.0,0
2,Saturday,2023-02-11,0.0,0
3,Saturday,2023-02-11,0.0,0
4,Saturday,2023-02-11,0.0,0
5,Saturday,2023-02-11,0.0,0
6,Saturday,2023-02-11,0.0,0
7,Saturday,2023-02-11,0.0,0
8,Saturday,2023-02-11,0.0,0
9,Saturday,2023-02-11,0.0,0
10,Saturday,2023-02-11,0.0,0
11,Saturday,2023-02-11,0.0,0
12,Saturday,2023-02-11,0.0,0
13,Saturday,2023-02-11,0.0,0
14,Saturday,2023-02-11,0.0,0
15,Saturday,2023-02-11,0.0,0
16,Saturday,2023-02-11,0.0,0
17,Saturday,2023-02-11,0.0,0
18,Saturday,2023-02-11,0.0,0
1,Friday,2023-02-10,5.93,1
2,Friday,2023-02-10,5.11,1
3,Friday,2023-02-10,5.15,1
4,Friday,2023-02-10,6.56,0
5,Friday,2023-02-10,4.75,1
6,Friday,2023-02-10,6.11,0
7,Friday,2023-02-10,5.95,1
8,Friday,2023-02-10,5.41,0
9,Friday,2023-02-10,5.12,1
10,Friday,2023-02-10,6.33,1
11,Friday,2023-02-10,5.52,0
12,Friday,2023-02-10,5.93,1
13,Friday,2023-02-10,6.84,0
14,Friday,2023-02-10,5.19,1
15,Friday,2023-02-10,5.79,1
16,Friday,2023-02-10,6.64,1
17,Friday,2023-02-10,4.86,0
18,Friday,2023-02-10,4.64,1
1,Thursday,2023-02-09,5.42,1
2,Thursday,2023-02-09,5.82,0
3,Thursday,2023-02-09,6.0,0
4,Thursday,2023-02-09,6.68,0
5,Thursday,2023-02-09,4.73,0
6,Thursday,2023-02-09,5.82,0
7,Thursday,2023-02-09,6.55,0
8,Thursday,2023-02-09,6.51,0
9,Thursday,2023-02-09,5.1,1
10,Thursday,2023-02-09,6.06,0
11,Thursday,2023-02-09,6.6,0
12,Thursday,2023-02-09,5.56,0
13,Thursday,2023-02-09,6.93,0
14,Thursday,2023-02-09,6.3,0
15,Thursday,2023-02-09,6.69,0
16,Thursday,2023-02-09,4.54,0
17,Thursday,2023-02-09,6.54,0
18,Thursday,2023-02-09,5.28,0
1,Wednesday,2023-02-08,6.24,0
2,Wednesday,2023-02-08,5.13,0
3,Wednesday,2023-02-08,6.47,0
4,Wednesday,2023-02-08,5.98,0
5,Wednesday,2023-02-08,6.33,0
6,Wednesday,2023-02-08,6.4,0
7,Wednesday,2023-02-08,6.8,0
8,Wednesday,2023-02-08,5.96,0
9,Wednesday,2023-02-08,6.85,0
10,Wednesday,2023-02-08,5.75,0
11,Wednesday,2023-02-08,6.55,0
12,Wednesday,2023-02-08,4.86,1
13,Wednesday,2023-02-08,6.24,0
14,Wednesday,2023-02-08,4.59,0
15,Wednesday,2023-02-08,5.9,0
16,Wednesday,2023-02-08,5.75,0
17,Wednesday,2023-02-08,6.83,0
18,Wednesday,2023-02-08,6.5,1
1,Tuesday,2023-02-07,4.94,0
2,Tuesday,2023-02-07,5.35,0
3,Tuesday,2023-02-07,5.24,0
4,Tuesday,2023-02-07,5.48,0
5,Tuesday,2023-02-07,6.96,0
6,Tuesday,2023-02-07,4.64,0
7,Tuesday,2023-02-07,5.85,1
8,Tuesday,2023-02-07,6.68,0
9,Tuesday,2023-02-07,5.34,1
10,Tuesday,2023-02-07,6.33,0
11,Tuesday,2023-02-07,6.64,0
12,Tuesday,2023-02-07,5.1,0
